state,year,Pop.,House%OwnGuns,NumOfPoliceOfficers,GunRnkCATO
Alabama,2016,4863300,69.81,8663.666667,9
Alaska,2016,741894,58.55,1285.0,4
Arizona,2016,6931071,59.38,12475.0,3
Arkansas,2016,2988248,59.67,5890.0,32
California,2016,39250017,37.11,77168.0,49
Colorado,2016,5540545,52.47,11431.33333,13
Connecticut,2016,3576452,27.75,8356.333333,43
Delaware,2016,952065,54.64,2257.333333,41
Florida,2016,20612439,53.18,38229.0,38
Georgia,2016,10310371,61.81,20356.33333,7
Hawaii,2016,1428557,21.26,2943.666667,50
Idaho,2016,1683140,61.25,2732.666667,18
Illinois,2016,12801539,35.75,15691.0,45
Indiana,2016,6633053,57.15,7995.333333,17
Iowa,2016,3134693,50.52,5073.666667,40
Kansas,2016,2907289,50.0,6280.666667,15
Kentucky,2016,4436974,65.49,6838.0,8
Louisiana,2016,4681666,65.01,9127.666667,37
Maine,2016,1331479,49.56,2269.333333,16
Maryland,2016,6016447,42.81,16861.33333,44
Massachusetts,2016,6811779,22.25,16656.66667,47
Michigan,2016,9928300,52.55,16977.66667,36
Minnesota,2016,5519952,44.52,8944.333333,39
Mississippi,2016,2988726,70.02,2614.0,24
Missouri,2016,6093000,57.37,14401.66667,29
Montana,2016,1042520,60.68,1657.333333,23
Nebraska,2016,1907116,47.13,3621.0,34
Nevada,2016,2940058,51.38,5719.666667,22
New Hampshire,2016,1334795,50.38,2609.0,5
New Jersey,2016,8944469,25.65,28133.33333,46
New Mexico,2016,2081015,51.61,1557.0,28
New York,2016,19745289,29.18,59239.66667,42
North Carolina,2016,10146788,57.43,23671.0,33
North Dakota,2016,757952,53.6,1587.333333,12
Ohio,2016,11614373,54.22,12006.33333,30
Oklahoma,2016,3923561,62.91,7418.333333,27
Oregon,2016,4093465,53.61,6284.333333,26
Pennsylvania,2016,12784227,49.51,25138.0,20
Rhode Island,2016,1056426,27.75,2457.333333,48
South Carolina,2016,4961119,64.39,10847.66667,25
South Dakota,2016,865454,51.57,1566.333333,6
Tennessee,2016,6651194,60.78,16660.66667,10
Texas,2016,27862596,57.83,43340.66667,31
Utah,2016,3051217,49.85,4326.666667,21
Vermont,2016,624594,58.5,1167.0,1
Virginia,2016,8411808,57.58,18794.33333,11
Washington,2016,7288000,45.15,10331.0,19
West Virginia,2016,1831102,65.76,3670.0,14
Wisconsin,2016,5778708,52.5,12684.0,35
Wyoming,2016,585501,60.43,1407.0,2
