,year,state,n_killed,n_injured
105711,2016,Massachusetts,0,1
105712,2016,Connecticut,0,0
105713,2016,Missouri,0,1
105714,2016,Missouri,0,1
105715,2016,Wisconsin,2,0
105716,2016,Louisiana,0,1
105717,2016,Florida,1,0
105718,2016,Pennsylvania,0,0
105719,2016,Pennsylvania,0,1
105720,2016,California,1,0
105721,2016,Tennessee,0,0
105722,2016,Minnesota,1,0
105723,2016,New York,0,0
105724,2016,New Jersey,0,1
105725,2016,Georgia,1,0
105726,2016,New York,0,0
105727,2016,Missouri,0,0
105728,2016,Virginia,0,1
105729,2016,Missouri,0,0
105730,2016,Alabama,0,1
105731,2016,Missouri,0,0
105732,2016,Tennessee,0,1
105733,2016,Texas,0,2
105734,2016,Florida,2,1
105735,2016,Missouri,0,1
105736,2016,Colorado,0,0
105737,2016,Missouri,0,1
105738,2016,North Carolina,0,2
105739,2016,Virginia,0,1
105740,2016,New Mexico,0,1
105741,2016,Tennessee,1,0
105742,2016,California,1,0
105743,2016,Alabama,1,0
105744,2016,Nevada,1,0
105745,2016,Texas,1,0
105746,2016,Pennsylvania,0,1
105747,2016,Missouri,1,0
105748,2016,Florida,1,0
105749,2016,Florida,1,0
105750,2016,Illinois,0,1
105751,2016,Michigan,0,1
105752,2016,Florida,0,0
105753,2016,Texas,0,3
105754,2016,Kansas,0,0
105755,2016,Illinois,0,1
105756,2016,Louisiana,0,1
105757,2016,Missouri,0,1
105758,2016,North Carolina,0,1
105759,2016,Virginia,0,0
105760,2016,Illinois,0,1
105761,2016,Indiana,0,1
105762,2016,Oregon,0,0
105763,2016,Florida,0,0
105764,2016,Illinois,0,1
105765,2016,California,0,1
105766,2016,Illinois,0,2
105767,2016,Oklahoma,0,0
105768,2016,Colorado,1,0
105769,2016,Colorado,0,1
105770,2016,Colorado,0,1
105771,2016,Pennsylvania,1,0
105772,2016,Washington,0,0
105773,2016,Florida,0,1
105774,2016,Virginia,0,3
105775,2016,Mississippi,1,0
105776,2016,Louisiana,0,0
105777,2016,Washington,0,0
105778,2016,Oklahoma,1,0
105779,2016,Hawaii,1,0
105780,2016,Texas,0,0
105781,2016,Oregon,0,1
105782,2016,Texas,0,1
105783,2016,Missouri,1,0
105784,2016,Colorado,0,0
105785,2016,Ohio,1,0
105786,2016,North Carolina,0,0
105787,2016,Texas,0,0
105788,2016,Hawaii,2,0
105789,2016,Iowa,0,0
105790,2016,Iowa,0,1
105791,2016,North Carolina,0,0
105792,2016,Georgia,0,0
105793,2016,West Virginia,0,0
105794,2016,Maryland,0,0
105795,2016,Connecticut,0,1
105796,2016,Illinois,0,1
105797,2016,Texas,0,1
105798,2016,Arkansas,1,0
105799,2016,Mississippi,1,0
105800,2016,Oklahoma,0,1
105801,2016,Texas,0,0
105802,2016,Wisconsin,0,0
105803,2016,Wisconsin,0,0
105804,2016,New Jersey,0,0
105805,2016,Oregon,0,1
105806,2016,Maryland,0,1
105807,2016,Florida,2,0
105808,2016,California,0,0
105809,2016,District of Columbia,0,0
105810,2016,District of Columbia,0,0
105811,2016,California,1,0
105812,2016,North Carolina,0,1
105813,2016,South Carolina,0,0
105814,2016,Michigan,1,0
105815,2016,Pennsylvania,0,0
105816,2016,Louisiana,1,0
105817,2016,New York,0,0
105818,2016,Delaware,0,0
105819,2016,Alabama,0,1
105820,2016,Colorado,1,0
105821,2016,Minnesota,0,0
105822,2016,Georgia,0,2
105823,2016,New York,0,1
105824,2016,Kansas,0,0
105825,2016,Illinois,0,0
105826,2016,Illinois,1,0
105827,2016,New Mexico,1,1
105828,2016,Florida,0,1
105829,2016,New York,0,0
105830,2016,Virginia,0,0
105831,2016,New York,0,1
105832,2016,New York,0,0
105833,2016,New York,0,0
105834,2016,Missouri,0,0
105835,2016,Nevada,0,0
105836,2016,New York,0,1
105837,2016,North Carolina,1,1
105838,2016,California,0,0
105839,2016,Kentucky,1,0
105840,2016,Michigan,0,1
105841,2016,Florida,0,0
105842,2016,Georgia,0,0
105843,2016,Florida,1,0
105844,2016,Ohio,1,0
105845,2016,Ohio,0,0
105846,2016,Florida,0,0
105847,2016,Florida,0,1
105848,2016,Florida,0,3
105849,2016,New York,0,1
105850,2016,Kansas,0,0
105851,2016,Washington,0,0
105852,2016,Washington,0,0
105853,2016,Nebraska,0,0
105854,2016,Michigan,0,1
105855,2016,Washington,0,1
105856,2016,Washington,0,0
105857,2016,Oregon,0,0
105858,2016,Illinois,0,1
105859,2016,Illinois,0,0
105860,2016,Arkansas,1,0
105861,2016,Oklahoma,1,0
105862,2016,Arizona,1,0
105863,2016,Iowa,0,1
105864,2016,Alaska,0,2
105865,2016,Colorado,0,1
105866,2016,Pennsylvania,0,0
105867,2016,Oklahoma,0,1
105868,2016,California,1,2
105869,2016,South Carolina,0,2
105870,2016,Oklahoma,0,0
105871,2016,Virginia,0,1
105872,2016,Pennsylvania,0,0
105873,2016,Michigan,1,0
105874,2016,Texas,1,0
105875,2016,Oklahoma,0,1
105876,2016,Illinois,1,0
105877,2016,Pennsylvania,0,1
105878,2016,Massachusetts,0,0
105879,2016,California,0,3
105880,2016,Georgia,0,1
105881,2016,Minnesota,0,1
105882,2016,California,0,1
105883,2016,California,1,0
105884,2016,Georgia,0,1
105885,2016,California,0,0
105886,2016,Georgia,0,0
105887,2016,South Carolina,0,1
105888,2016,California,0,0
105889,2016,West Virginia,0,0
105890,2016,Michigan,0,1
105891,2016,Pennsylvania,1,0
105892,2016,Missouri,1,0
105893,2016,California,1,0
105894,2016,Maryland,0,1
105895,2016,Texas,0,1
105896,2016,Nevada,1,0
105897,2016,Maryland,0,0
105898,2016,California,1,0
