State,Year,Gini-Indx,PopDens,Pov.%,GnLwRnk (Low is strict),Pop.,StateSqMi,AllVlntCrm,AllMrdr,GunHom.Rate100k,RapeRvsd,RapeLgcy,Robbery,AggvtdAsslt,MassShoot,MassShoot100k,MasShootY,FirearmSuic,AllSuic,House%OwnGuns,PolicKilledGun,PoliceKilledGun100k,NumOfPoliceOfficers,PoliceOfficers100k,GunRnkCATO,GunRnkEvryTwn,GunRnkAVG,PrcntBlck,PrcntHispORLat,PrtyRepub.,PrtyDemoc.,AlchlPerCap,MntlHlthRnk,PrcntHSchl,PrcntBchlr,RdntHntLic,RdntHntLic100k,GunShow100k,PrcntPopVet,PrcntPopUrbn,PrcntEvang.,CntryV.Rck,B5E,B5A,B5C,B5N,B5O,IATScore,UnHyphAm.,PrcntUnHyphAm.,PrcntConsrv,FxNwsCnsmp.,HnrCultr,CensS,CensNE,CensMW,CensW,MnMrdrWmn
Alabama,2016,0.485,95.83990225,16.2,37,4863300,50744,532.3,8.4,9.34,39.4,28.5,96.4,388.2,15,0.3084325458,1,11.31,16.2,69.81,0,0,8663.666667,178.1437844,9,16,12.5,26.37,3.97,52,35,1.993333333,31,83.70,23.07,567703,11673.20544,0.78,9,59.04,49,7,55.5,52.7,55.5,48.7,42.7,0.439,674196,13.86293258,44.7,8,1,1,0,0,0,1.124
Alaska,2016,0.408,1.2971286,12.6,44,741894,571951,804.2,7,6.07,141.9,102,114.6,540.6,0,0,0,15.23,26.01,58.55,1,0.1347901452,1285,173.2053366,4,5,4.5,3.47,6.20,39,32,2.793333333,9,91.83,27.73,320848,43247.14851,0.33,10,66.02,22,5,50,50,50,50,50,0.382,27706,3.734495764,43.1,1,0,0,0,0,1,2.767
Arizona,2016,0.471,60.99415673,16.1,47,6931071,113635,470.1,5.5,4.37,47.5,35.4,101.8,315.4,4,0.05771113873,1,10.89,18.34,59.38,2,0.02885556936,12475,179.9866139,3,13,8,4.20,30.10,40,39,2.353333333,50,85.87,27.17,408602,5895.221676,1.2,8,89.81,26,5,50.6,46.6,58.4,38.1,54.7,0.398,319017,4.602708586,36,5,1,0,0,0,1,1.310
Arkansas,2016,0.472,57.39125759,16,38,2988248,52068,550.9,7.2,6.09,71.7,51.7,70.9,401,3,0.1003932739,1,11.08,18.57,59.67,1,0.03346442464,5890,197.1054611,32,22,27,15.50,6.73,46,38,1.81,41,84.27,20.60,395700,13241.87283,1.42,8,56.16,46,7,49.9,52.7,41,56.2,40.3,0.411,320628,10.72963154,45.2,7,1,1,0,0,0,1.367
California,2016,0.49,251.6688168,13.9,1,39250017,155959,445.3,4.9,3.74,34.9,25.9,139.6,265.9,47,0.1197451711,1,4.06,10.94,37.11,6,0.01528661758,77168,196.6062843,49,46,47.5,5.93,38.17,30,49,2.303333333,23,81.50,31.03,1014445,2584.572129,0.37,5,94.95,20,1,51.4,49,43.2,39.1,65,0.392,941696,2.399224439,30.8,3,1,0,0,0,1,0.970
Colorado,2016,0.459,53.41931969,8.5,14,5540545,103718,342.6,3.7,2.91,64.2,47.3,63.7,211.1,4,0.07219506384,1,11.06,21.08,52.47,2,0.03609753192,11431.33333,206.32146,13,29,21,4.00,20.93,41,42,2.78,19,90.43,37.53,439560,7933.515566,1.64,8,86.15,26,4,45.3,47.5,58.8,34.3,57.9,0.358,241752,4.363325269,36.9,4,1,0,0,0,1,1.090
Connecticut,2016,0.495,738.1737874,9.8,2,3576452,4845,227.1,2.2,1.54,21.3,15.7,75.6,128,6,0.1677640298,1,3.08,11.1,27.75,0,0,8356.333333,233.6486924,43,45,44,10.20,14.30,32,50,2.38,3,89.53,37.03,126934,3549.159894,0.37,6,87.99,13,1,57.6,38.6,34.2,53.4,53.9,0.416,104980,2.935311309,27.4,4,0,0,1,0,0,0.870
Delaware,2016,0.452,487.2389969,11.6,11,952065,1954,508.8,5.9,4.62,32.4,23.2,142.7,327.8,2,0.2100696906,1,6.83,12.5,54.64,0,0,2257.333333,237.0986575,41,39,40,21.57,8.57,29,55,3.62,16,88.03,29.43,51268,5384.926449,0.81,9,83.3,15,1,47,38.8,36.5,62.4,42.7,0.445,39346,4.132701024,32.3,1,1,0,1,0,0,0.967
Florida,2016,0.485,382.2285497,13,26,20612439,53927,430.3,5.4,4.81,36.9,26.8,97.9,290.2,30,0.1455431839,1,8.11,15.25,53.18,0,0,38229,185.4656792,38,16,27,16.07,23.30,37,44,2.636666667,25,86.50,26.83,337794,1638.787142,1.19,8,91.16,24,2,60.9,50.7,62.7,40.8,61,0.438,1462965,7.097486134,36.8,6,1,1,0,0,0,1.124
Georgia,2016,0.481,178.0535868,15.4,29,10310371,57906,397.6,6.6,6.33,34,24.5,118.4,238.5,17,0.1648825246,1,8.45,13.67,61.81,7,0.06789280425,20356.33333,197.4355077,7,10,8.5,30.83,9.03,41,41,1.96,18,85.03,28.37,1299513,12603.94025,1.17,8,75.07,38,6,63.2,60,68.8,38,56.9,0.437,1074799,10.42444544,41.8,7,1,1,0,0,0,1.383
