law_tag,Variable_Name,Average_deaths_per_capita,number_of_states_with_law,Category,Sub-Category,Brief_Description_of_Provision
felony,felony,12.85,37,Prohibitions for high-risk gun possession,Felony,Firearm possession is prohibited for all people with a felony conviction
age18longgunpossess,age18longgunpossess,9.92,12,Possession regulations,Age restrictions,No possession of long guns until age 18
age18longgunsale,age18longgunsale,11.77,20,Buyer regulations,Age restrictions,Purchase of long guns from licensed dealers and private sellers restricted to age 18 and older
age21handgunpossess,age21handgunpossess,5.95,8,Possession regulations,Age restrictions,No possession of handguns until age 21
age21handgunsale,age21handgunsale,8.81,14,Buyer regulations,Age restrictions,Purchase of handguns from licensed dealers and private sellers restricted to age 21 and older
age21longgunpossess,age21longgunpossess,3.4,1,Possession regulations,Age restrictions,No possession of long guns until age 21
age21longgunsale,age21longgunsale,4.5,1,Buyer regulations,Age restrictions,Purchase of long guns from licensed dealers and private sellers restricted to age 21 and older
age21longgunsaled,age21longgunsaled,4.5,1,Buyer regulations,Age restrictions,Purchase of long guns from licensed dealers restricted to age 21 and older
alcoholism,alcoholism,16.08,6,Prohibitions for high-risk gun possession,Alcohol,Firearm possession is prohibited for some people with alcoholism
alctreatment,alctreatment,8.7,6,Prohibitions for high-risk gun possession,Alcohol,Firearm possession is prohibited for some people with alcohol-related problems
ammunition_18_yr,amm18,8.37,7,Ammunition regulations,Age restrictions,Purchase of any type of ammunition restricted to age 18 and older
ammunition_21_yr,amm21h,8.05,8,Ammunition regulations,Age restrictions,Purchase of handgun ammunition restricted to age 21 and older
ammunition_background,ammbackground,6.57,3,Ammunition regulations,Background checks,Background checks required for ammunition purchase
ammunition_license,ammlicense,6.2,2,Ammunition regulations,Licensing,Vendor license required to sell ammunition
ammunition_permit,ammpermit,6.56,3,Ammunition regulations,Permitting,Permit required to purchase ammunition
ammunition_records,ammrecords,7.9,1,Ammunition regulations,Recordkeeping,Records of ammunition sales must be retained
ammunition_restrict,ammrestrict,8.57,11,Ammunition regulations,Prohibitors,All of the state’s high-risk gun possession prohibitions also apply to ammunition possession
assault_limit,assault,6.28,6,Assault weapons and large-capacity magazines,Assault weapons ban,Ban on sale of assault weapons beyond just assault pistols
assault_ban_list,assaultlist,6.28,6,Assault weapons and large-capacity magazines,Assault weapons ban,Ban on sale of assault weapons which includes a list of banned weapons
inherit_register,assaultregister,5.64,4,Assault weapons and large-capacity magazines,Assault weapons ban,Grandfathered weapons must be registered
inherit_banned,assaulttransfer,7.2,4,Assault weapons and large-capacity magazines,Assault weapons ban,Transfer of grandfathered weapons is prohibited
state_background_60d_retain,backgroundpurge,9.02,15,Background checks,Background check records,State can retain background check records for at least 60 days
child_access_prevention_14,cap14,8.78,16,Child access prevention,Storage,Criminal liability for negligent storage applies to access by children less than 14 years old
child_access_prevention_16,cap16,8.32,13,Child access prevention,Storage,Criminal liability for negligent storage applies to access by children less than 16 years old
child_access_prevention_18,cap18,8.72,5,Child access prevention,Storage,Criminal liability for negligent storage applies to access by children less than 18 years old
child_access_prevention_access,capaccess,7.56,7,Child access prevention,Storage,Criminal liability for negligent storage of guns if child gains access
child_access_prevention_liability,capliability,7.7,4,Child access prevention,Storage,"Criminal liability for negligent storage of guns, regardless of whether child gains access"
child_access_prevention_unloaded,capunloaded,6.6,3,Child access prevention,Storage,Criminal liability for negligent storage applies regardless of whether gun is loaded or unloaded
child_access_prevention_uses,capuses,8.78,16,Child access prevention,Storage,Criminal liability for negligent storage of guns if child uses or carries the gun
concealed_carry_background,ccbackground,12.79,39,Concealed carry permitting,Background checks,Concealed carry permit process requires a background check
concealed_carry_backgroundnics,ccbackgroundnics,13.05,21,Concealed carry permitting,Background checks,Background check process for a concealed carry permit explicitly requires a check of the NICS database
concealed_carry_renewbackground,ccrenewbackground,12.54,35,Concealed carry permitting,Background checks,Concealed carry permit renewal requires a new background check
concealed_carry_revoke,ccrevoke,12.86,29,Concealed carry permitting,Permitting,Authorities are required to revoke concealed carry permits under certain circumstances
college_campas_ban,college,13.1,18,Possession regulations,Campus carry,No gun carrying allowed on college campuses except for concealed weapon permittees
college_campas_ban_concealed,collegeconcealed,11.9,12,Possession regulations,Campus carry,"No gun carrying on college campuses, including concealed weapons permittees"
